Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
130355,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,01/01/2005,117.7,
130356,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,01/01/2005,77.3,
130357,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2005-2007,01/01/2005,67.3,
130358,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005-2007,01/01/2005,73.6,
130359,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,105,Crotona - Tremont,2005-2007,01/01/2005,65.8,
130360,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,01/01/2005,84.8,
130361,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,01/01/2005,71,
130362,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,201,Greenpoint,2005-2007,01/01/2005,64,
130363,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,01/01/2005,58.9,
130364,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,01/01/2005,80,
130365,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,204,East New York,2005-2007,01/01/2005,64.1,
130366,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01/01/2005,49.2,
130367,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,206,Borough Park,2005-2007,01/01/2005,68.2,
130368,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-2007,01/01/2005,54.9,
130369,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,208,Canarsie - Flatlands,2005-2007,01/01/2005,61.1,
130370,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,01/01/2005,73.4,
130371,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,01/01/2005,83.3,
130372,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,211,Williamsburg - Bushwick,2005-2007,01/01/2005,72.2,
130373,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,301,Washington Heights,2005-2007,01/01/2005,60.5,
130374,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007,01/01/2005,105.2,
130375,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,303,East Harlem,2005-2007,01/01/2005,100.5,
130376,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,304,Upper West Side,2005-2007,01/01/2005,59.5,
130377,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,01/01/2005,55.3,
130378,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,01/01/2005,57.5,
130379,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2005-2007,01/01/2005,52.7,
130380,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,01/01/2005,45.4,
130381,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,01/01/2005,66.9,
130382,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,310,Lower Manhattan,2005-2007,01/01/2005,59.5,
130383,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,401,Long Island City - Astoria,2005-2007,01/01/2005,55.3,
